id,title,text
92,A pair of spectacles ajar just stir –,"An almanac's aware.
Was it the mat winked,
Or a nervous star?
The moon slides down the stair
To see who's there."
93,"There's plunder, – where?","Tankard, or spoon,
Earring, or stone,
A watch, some ancient brooch
To match the grandmamma,
Staid sleeping there."
94,"Day rattles, too,","Stealth's slow;
The sun has got as far
As the third sycamore.
Screams chanticleer,
""Who's there?""
And echoes, trains away,
Sneer – ""Where?""
While the old couple, just astir,
Fancy the sunrise left the door ajar!"
95,Poem 95,XVI.
96,"To fight aloud is very brave,","But gallanter, I know,
Who charge within the bosom,
The cavalry of woe."
97,"Who win, and nations do not see,","Who fall, and none observe,
Whose dying eyes no country
Regards with patriot love."
98,"We trust, in plumed procession,","For such the angels go,
Rank after rank, with even feet
And uniforms of snow."
99,Poem 99,XVII.
100,Poem 100,DAWN.
101,"When night is almost done,","And sunrise grows so near
That we can touch the spaces,
It 's time to smooth the hair"
102,"And get the dimples ready,","And wonder we could care
For that old faded midnight
That frightened but an hour."
103,Poem 103,XVIII.
104,Poem 104,THE BOOK OF MARTYRS.
105,"Read, sweet, how others strove,","Till we are stouter;
What they renounced,
Till we are less afraid;
How many times they bore
The faithful witness,
Till we are helped,
As if a kingdom cared!"
106,Read then of faith,"That shone above the fagot;
Clear strains of hymn
The river could not drown;
Brave names of men
And celestial women,
Passed out of record
Into renown!"
107,Poem 107,XIX.
108,Poem 108,THE MYSTERY OF PAIN.
109,Pain has an element of blank;,"It cannot recollect
When it began, or if there were
A day when it was not."
110,"It has no future but itself,","Its infinite realms contain
Its past, enlightened to perceive
New periods of pain."
111,Poem 111,XX.
112,"I taste a liquor never brewed,","From tankards scooped in pearl;
Not all the vats upon the Rhine
Yield such an alcohol!"
113,"Inebriate of air am I,","And debauchee of dew,
Reeling, through endless summer days,
From inns of molten blue."
114,When landlords turn the drunken bee,"Out of the foxglove's door,
When butterflies renounce their drams,
I shall but drink the more!"
115,"Till seraphs swing their snowy hats,","And saints to windows run,
To see the little tippler
Leaning against the sun!"
116,Poem 116,XXI.
117,Poem 117,A BOOK.
118,"He ate and drank the precious words,","His spirit grew robust;
He knew no more that he was poor,
Nor that his frame was dust.
He danced along the dingy days,
And this bequest of wings
Was but a book. What liberty
A loosened spirit brings!"
119,Poem 119,XXII.
120,"I had no time to hate, because","The grave would hinder me,
And life was not so ample I
Could finish enmity."
121,Nor had I time to love; but since,"Some industry must be,
The little toil of love, I thought,
Was large enough for me."
122,Poem 122,XXIII.
123,Poem 123,UNRETURNING.
124,"'T was such a little, little boat","That toddled down the bay!
'T was such a gallant, gallant sea
That beckoned it away!"
125,"'T was such a greedy, greedy wave","That licked it from the coast;
Nor ever guessed the stately sails
My little craft was lost!"
126,Poem 126,XXIV.
127,"Whether my bark went down at sea,","Whether she met with gales,
Whether to isles enchanted
She bent her docile sails;"
128,By what mystic mooring,"She is held to–day, –
This is the errand of the eye
Out upon the bay."
129,Poem 129,XXV.
130,"Belshazzar had a letter, –","He never had but one;
Belshazzar's correspondent
Concluded and begun
In that immortal copy
The conscience of us all
Can read without its glasses
On revelation's wall."
131,Poem 131,XXVI.
132,The brain within its groove,"Runs evenly and true;
But let a splinter swerve,
'T were easier for you
To put the water back
When floods have slit the hills,
And scooped a turnpike for themselves,
And blotted out the mills!"
133,Poem 133,II. LOVE.
134,Poem 134,I.
135,Poem 135,MINE.
136,Mine by the right of the white election!,"Mine by the royal seal!
Mine by the sign in the scarlet prison
Bars cannot conceal!"
137,"Mine, here in vision and in veto!","Mine, by the grave's repeal
Titled, confirmed, – delirious charter!
Mine, while the ages steal!"
138,Poem 138,II.
139,Poem 139,BEQUEST.
140,"You left me, sweet, two legacies, –","A legacy of love
A Heavenly Father would content,
Had He the offer of;"
141,You left me boundaries of pain,"Capacious as the sea,
Between eternity and time,
Your consciousness and me."
142,Poem 142,III.
143,Alter? When the hills do.,"Falter? When the sun
Question if his glory
Be the perfect one."
144,Surfeit? When the daffodil,"Doth of the dew:
Even as herself, O friend!
I will of you!"
145,Poem 145,IV.
146,Poem 146,SUSPENSE.
147,Elysium is as far as to,"The very nearest room,
If in that room a friend await
Felicity or doom."
148,"What fortitude the soul contains,","That it can so endure
The accent of a coming foot,
The opening of a door!"
149,Poem 149,V.
150,Poem 150,SURRENDER.
151,"Doubt me, my dim companion!","Why, God would be content
With but a fraction of the love
Poured thee without a stint.
The whole of me, forever,
What more the woman can, –
Say quick, that I may dower thee
With last delight I own!"
152,"It cannot be my spirit,","For that was thine before;
I ceded all of dust I knew, –
What opulence the more
Had I, a humble maiden,
Whose farthest of degree
Was that she might,
Some distant heaven,
Dwell timidly with thee!"
153,Poem 153,VI.
154,"If you were coming in the fall,","I'd brush the summer by
With half a smile and half a spurn,
As housewives do a fly."
155,"If I could see you in a year,","I'd wind the months in balls,
And put them each in separate drawers,
Until their time befalls."
156,"If only centuries delayed,","I'd count them on my hand,
Subtracting till my fingers dropped
Into Van Diemen's land."
157,"If certain, when this life was out,","That yours and mine should be,
I'd toss it yonder like a rind,
And taste eternity."
158,"But now, all ignorant of the length","Of time's uncertain wing,
It goads me, like the goblin bee,
That will not state its sting."
159,Poem 159,VII.
160,Poem 160,WITH A FLOWER.
161,"I hide myself within my flower,","That wearing on your breast,
You, unsuspecting, wear me too –
And angels know the rest."
162,"I hide myself within my flower,","That, fading from your vase,
You, unsuspecting, feel for me
Almost a loneliness."
163,Poem 163,VIII.
164,Poem 164,PROOF.
165,"That I did always love,","I bring thee proof:
That till I loved
I did not love enough."
166,"That I shall love alway,","I offer thee
That love is life,
And life hath immortality."
167,"This, dost thou doubt, sweet?","Then have I
Nothing to show
But Calvary."
168,Poem 168,IX.
169,"Have you got a brook in your little heart,","Where bashful flowers blow,
And blushing birds go down to drink,
And shadows tremble so?"
170,"And nobody knows, so still it flows,","That any brook is there;
And yet your little draught of life
Is daily drunken there."
171,"Then look out for the little brook in March,","When the rivers overflow,
And the snows come hurrying from the hills,
And the bridges often go."
172,"And later, in August it may be,","When the meadows parching lie,
Beware, lest this little brook of life
Some burning noon go dry!"
173,Poem 173,X.
174,Poem 174,TRANSPLANTED.
175,"As if some little Arctic flower,","Upon the polar hem,
Went wandering down the latitudes,
Until it puzzled came
To continents of summer,
To firmaments of sun,
To strange, bright crowds of flowers,
And birds of foreign tongue!
I say, as if this little flower
To Eden wandered in –
What then? Why, nothing, only,
Your inference therefrom!"
176,Poem 176,XI.
177,Poem 177,THE OUTLET.
178,My river runs to thee:,"Blue sea, wilt welcome me?"
179,My river waits reply.,"Oh sea, look graciously!"
180,I'll fetch thee brooks,"From spotted nooks, –"
181,"Say, sea,",Take me!
182,Poem 182,XII.
183,Poem 183,IN VAIN.
184,"I cannot live with you,","It would be life,
And life is over there
Behind the shelf"
185,"The sexton keeps the key to,","Putting up
Our life, his porcelain,
Like a cup"
186,"Discarded of the housewife,","Quaint or broken;
A newer Sevres pleases,
Old ones crack."
187,"I could not die with you,","For one must wait
To shut the other's gaze down, –
You could not."
188,"And I, could I stand by","And see you freeze,
Without my right of frost,
Death's privilege?"
189,"Nor could I rise with you,","Because your face
Would put out Jesus',
That new grace"
190,Glow plain and foreign,"On my homesick eye,
Except that you, than he
Shone closer by."
191,They'd judge us – how?,"For you served Heaven, you know,
Or sought to;
I could not,"
192,"Because you saturated sight,","And I had no more eyes
For sordid excellence
As Paradise."
193,"And were you lost, I would be,","Though my name
Rang loudest
On the heavenly fame."
194,"And were you saved,","And I condemned to be
Where you were not,
That self were hell to me."
195,"So we must keep apart,","You there, I here,
With just the door ajar
That oceans are,
And prayer,
And that pale sustenance,
Despair!"
196,Poem 196,XIII.
197,Poem 197,RENUNCIATION.
198,Poem 198,First page of Renunciation Second page of Renunciation Third page of Renunciation Fourth page of Renunciation
199,There came a day at summer's full,"Entirely for me;
I thought that such were for the saints,
Where revelations be."
200,"The sun, as common, went abroad,","The flowers, accustomed, blew,
As if no soul the solstice passed
That maketh all things new."
201,The time was scarce profaned by speech;,"The symbol of a word
Was needless, as at sacrament
The wardrobe of our Lord."
202,"Each was to each the sealed church,","Permitted to commune this time,
Lest we too awkward show
At supper of the Lamb."
203,"The hours slid fast, as hours will,","Clutched tight by greedy hands;
So faces on two decks look back,
Bound to opposing lands."
204,"And so, when all the time had failed,","Without external sound,
Each bound the other's crucifix,
We gave no other bond."
205,Sufficient troth that we shall rise –,"Deposed, at length, the grave –
To that new marriage, justified
Through Calvaries of Love!"
206,Poem 206,XIV.
207,Poem 207,LOVE'S BAPTISM.
208,"I'm ceded, I've stopped being theirs;","The name they dropped upon my face
With water, in the country church,
Is finished using now,
And they can put it with my dolls,
My childhood, and the string of spools
I've finished threading too."
209,"Baptized before without the choice,","But this time consciously, of grace
Unto supremest name,
Called to my full, the crescent dropped,
Existence's whole arc filled up
With one small diadem."
210,"My second rank, too small the first,","Crowned, crowing on my father's breast,
A half unconscious queen;
But this time, adequate, erect,
With will to choose or to reject.
And I choose – just a throne."
211,Poem 211,XV.
212,Poem 212,RESURRECTION.
213,"'T was a long parting, but the time","For interview had come;
Before the judgment–seat of God,
The last and second time"
214,"These fleshless lovers met,","A heaven in a gaze,
A heaven of heavens, the privilege
Of one another's eyes."
215,"No lifetime set on them,","Apparelled as the new
Unborn, except they had beheld,
Born everlasting now."
216,Was bridal e'er like this?,"A paradise, the host,
And cherubim and seraphim
The most familiar guest."
217,Poem 217,XVI.
218,Poem 218,APOCALYPSE.
219,"I'm wife; I've finished that,","That other state;
I'm Czar, I'm woman now:
It's safer so."
220,How odd the girl's life looks,"Behind this soft eclipse!
I think that earth seems so
To those in heaven now."
221,"This being comfort, then","That other kind was pain;
But why compare?
I'm wife! stop there!"
222,Poem 222,XVII.
223,Poem 223,THE WIFE.
224,"She rose to his requirement, dropped","The playthings of her life
To take the honorable work
Of woman and of wife."
225,If aught she missed in her new day,"Of amplitude, or awe,
Or first prospective, or the gold
In using wore away,"
226,"It lay unmentioned, as the sea","Develops pearl and weed,
But only to himself is known
The fathoms they abide."
227,Poem 227,XVIII.
228,Poem 228,APOTHEOSIS.
229,"Come slowly, Eden!","Lips unused to thee,
Bashful, sip thy jasmines,
As the fainting bee,"
230,"Reaching late his flower,","Round her chamber hums,
Counts his nectars – enters,
And is lost in balms!"
231,Poem 231,III. NATURE.
232,Poem 232,I.
233,"New feet within my garden go,","New fingers stir the sod;
A troubadour upon the elm
Betrays the solitude."
234,"New children play upon the green,","New weary sleep below;
And still the pensive spring returns,
And still the punctual snow!"
235,Poem 235,II.
236,Poem 236,MAY–FLOWER.
237,"Pink, small, and punctual,","Aromatic, low,
Covert in April,
Candid in May,"
238,"Dear to the moss,","Known by the knoll,
Next to the robin
In every human soul."
239,"Bold little beauty,","Bedecked with thee,
Nature forswears
Antiquity."
240,Poem 240,III.
241,Poem 241,WHY?
242,The murmur of a bee,"A witchcraft yieldeth me.
If any ask me why,
'T were easier to die
Than tell."
243,The red upon the hill,"Taketh away my will;
If anybody sneer,
Take care, for God is here,
That's all."
244,The breaking of the day,"Addeth to my degree;
If any ask me how,
Artist, who drew me so,
Must tell!"
245,Poem 245,IV.
246,Perhaps you'd like to buy a flower?,"But I could never sell.
If you would like to borrow
Until the daffodil"
247,Unties her yellow bonnet,"Beneath the village door,
Until the bees, from clover rows
Their hock and sherry draw,"
248,"Why, I will lend until just then,",But not an hour more!
249,Poem 249,V.
250,The pedigree of honey,"Does not concern the bee;
A clover, any time, to him
Is aristocracy."
251,Poem 251,VI.
252,Poem 252,A SERVICE OF SONG.
253,Some keep the Sabbath going to church;,"I keep it staying at home,
With a bobolink for a chorister,
And an orchard for a dome."
254,Some keep the Sabbath in surplice;,"I just wear my wings,
And instead of tolling the bell for church,
Our little sexton sings."
255,"God preaches, – a noted clergyman, –","And the sermon is never long;
So instead of getting to heaven at last,
I'm going all along!"
256,Poem 256,VII.
257,"The bee is not afraid of me,","I know the butterfly;
The pretty people in the woods
Receive me cordially."
258,"The brooks laugh louder when I come,","The breezes madder play.
Wherefore, mine eyes, thy silver mists?
Wherefore, O summer's day?"
259,Poem 259,VIII.
260,Poem 260,SUMMER'S ARMIES.
261,Some rainbow coming from the fair!,"Some vision of the world Cashmere
I confidently see!
Or else a peacock's purple train,
Feather by feather, on the plain
Fritters itself away!"
262,"The dreamy butterflies bestir,","Lethargic pools resume the whir
Of last year's sundered tune.
From some old fortress on the sun
Baronial bees march, one by one,
In murmuring platoon!"
263,The robins stand as thick to–day,"As flakes of snow stood yesterday,
On fence and roof and twig.
The orchis binds her feather on
For her old lover, Don the Sun,
Revisiting the bog!"
264,"Without commander, countless, still,","The regiment of wood and hill
In bright detachment stand.
Behold! Whose multitudes are these?
The children of whose turbaned seas,
Or what Circassian land?"
265,Poem 265,IX.
266,Poem 266,THE GRASS.
267,"The grass so little has to do, –","A sphere of simple green,
With only butterflies to brood,
And bees to entertain,"
268,And stir all day to pretty tunes,"The breezes fetch along,
And hold the sunshine in its lap
And bow to everything;"
269,"And thread the dews all night, like pearls,","And make itself so fine, –
A duchess were too common
For such a noticing."
270,"And even when it dies, to pass","In odors so divine,
As lowly spices gone to sleep,
Or amulets of pine."
271,"And then to dwell in sovereign barns,","And dream the days away, –
The grass so little has to do,
I wish I were the hay!"
272,Poem 272,X.
273,"A little road not made of man,","Enabled of the eye,
Accessible to thill of bee,
Or cart of butterfly."
274,"If town it have, beyond itself,","'T is that I cannot say;
I only sigh, – no vehicle
Bears me along that way."
275,Poem 275,XI.
276,Poem 276,SUMMER SHOWER.
277,"A drop fell on the apple tree,","Another on the roof;
A half a dozen kissed the eaves,
And made the gables laugh."
278,"A few went out to help the brook,","That went to help the sea.
Myself conjectured, Were they pearls,
What necklaces could be!"
279,"The dust replaced in hoisted roads,","The birds jocoser sung;
The sunshine threw his hat away,
The orchards spangles hung."
280,"The breezes brought dejected lutes,","And bathed them in the glee;
The East put out a single flag,
And signed the fete away."
281,Poem 281,XII.
282,Poem 282,PSALM OF THE DAY.
283,"A something in a summer's day,","As slow her flambeaux burn away,
Which solemnizes me."
284,"A something in a summer's noon, –","An azure depth, a wordless tune,
Transcending ecstasy."
285,And still within a summer's night,"A something so transporting bright,
I clap my hands to see;"
286,"Then veil my too inspecting face,","Lest such a subtle, shimmering grace
Flutter too far for me."
287,"The wizard–fingers never rest,","The purple brook within the breast
Still chafes its narrow bed;"
288,"Still rears the East her amber flag,","Guides still the sun along the crag
His caravan of red,"
289,"Like flowers that heard the tale of dews,","But never deemed the dripping prize
Awaited their low brows;"
290,"Or bees, that thought the summer's name","Some rumor of delirium
No summer could for them;"
291,"Or Arctic creature, dimly stirred","By tropic hint, – some travelled bird
Imported to the wood;"
292,"Or wind's bright signal to the ear,","Making that homely and severe,
Contented, known, before"
293,"The heaven unexpected came,","To lives that thought their worshipping
A too presumptuous psalm."
294,Poem 294,XIII.
295,Poem 295,THE SEA OF SUNSET.
296,"This is the land the sunset washes,","These are the banks of the Yellow Sea;
Where it rose, or whither it rushes,
These are the western mystery!"
297,Night after night her purple traffic,"Strews the landing with opal bales;
Merchantmen poise upon horizons,
Dip, and vanish with fairy sails."
298,Poem 298,XIV.
299,Poem 299,PURPLE CLOVER.
300,"There is a flower that bees prefer,","And butterflies desire;
To gain the purple democrat
The humming–birds aspire."
301,"And whatsoever insect pass,","A honey bears away
Proportioned to his several dearth
And her capacity."
302,"Her face is rounder than the moon,","And ruddier than the gown
Of orchis in the pasture,
Or rhododendron worn."
303,She doth not wait for June;,"Before the world is green
Her sturdy little countenance
Against the wind is seen,"
304,"Contending with the grass,","Near kinsman to herself,
For privilege of sod and sun,
Sweet litigants for life."
305,"And when the hills are full,","And newer fashions blow,
Doth not retract a single spice
For pang of jealousy."
306,"Her public is the noon,","Her providence the sun,
Her progress by the bee proclaimed
In sovereign, swerveless tune."
307,"The bravest of the host,","Surrendering the last,
Nor even of defeat aware
When cancelled by the frost."
308,Poem 308,XV.
309,Poem 309,THE BEE.
310,Like trains of cars on tracks of plush,"I hear the level bee:
A jar across the flowers goes,
Their velvet masonry"
311,Withstands until the sweet assault,"Their chivalry consumes,
While he, victorious, tilts away
To vanquish other blooms."
312,"His feet are shod with gauze,","His helmet is of gold;
His breast, a single onyx
With chrysoprase, inlaid."
313,"His labor is a chant,","His idleness a tune;
Oh, for a bee's experience
Of clovers and of noon!"
314,Poem 314,XVI.
315,Presentiment is that long shadow on the lawn,"Indicative that suns go down;
The notice to the startled grass
That darkness is about to pass."
316,Poem 316,XVII.
317,"As children bid the guest good–night,","And then reluctant turn,
My flowers raise their pretty lips,
Then put their nightgowns on."
318,"As children caper when they wake,","Merry that it is morn,
My flowers from a hundred cribs
Will peep, and prance again."
319,Poem 319,XVIII.
320,Angels in the early morning,"May be seen the dews among,
Stooping, plucking, smiling, flying:
Do the buds to them belong?"
321,Angels when the sun is hottest,"May be seen the sands among,
Stooping, plucking, sighing, flying;
Parched the flowers they bear along."
322,Poem 322,XIX.
323,"So bashful when I spied her,","So pretty, so ashamed!
So hidden in her leaflets,
Lest anybody find;"
324,"So breathless till I passed her,","So helpless when I turned
And bore her, struggling, blushing,
Her simple haunts beyond!"
325,"For whom I robbed the dingle,","For whom betrayed the dell,
Many will doubtless ask me,
But I shall never tell!"
326,Poem 326,XX.
327,Poem 327,TWO WORLDS.
328,"It makes no difference abroad,","The seasons fit the same,
The mornings blossom into noons,
And split their pods of flame."
329,"Wild–flowers kindle in the woods,","The brooks brag all the day;
No blackbird bates his jargoning
For passing Calvary."
330,Auto–da–fe and judgment,"Are nothing to the bee;
His separation from his rose
To him seems misery."
331,Poem 331,XXI.
332,Poem 332,THE MOUNTAIN.
333,The mountain sat upon the plain,"In his eternal chair,
His observation omnifold,
His inquest everywhere."
334,"The seasons prayed around his knees,","Like children round a sire:
Grandfather of the days is he,
Of dawn the ancestor."
335,Poem 335,XXII.
336,Poem 336,A DAY.
337,"I'll tell you how the sun rose, –","A ribbon at a time.
The steeples swam in amethyst,
The news like squirrels ran."
338,"The hills untied their bonnets,","The bobolinks begun.
Then I said softly to myself,
""That must have been the sun!"""
339,"But how he set, I know not.","There seemed a purple stile
Which little yellow boys and girls
Were climbing all the while"
340,"Till when they reached the other side,","A dominie in gray
Put gently up the evening bars,
And led the flock away."
341,Poem 341,XXIII.
342,"The butterfly's assumption–gown,","In chrysoprase apartments hung,
This afternoon put on."
343,"How condescending to descend,","And be of buttercups the friend
In a New England town!"
344,Poem 344,XXIV.
345,Poem 345,THE WIND.
346,"Of all the sounds despatched abroad,","There's not a charge to me
Like that old measure in the boughs,
That phraseless melody"
347,"The wind does, working like a hand","Whose fingers brush the sky,
Then quiver down, with tufts of tune
Permitted gods and me."
348,"When winds go round and round in bands,","And thrum upon the door,
And birds take places overhead,
To bear them orchestra,"
349,"I crave him grace, of summer boughs,","If such an outcast be,
He never heard that fleshless chant
Rise solemn in the tree,"
